state,tax_type_id,tax_type_name,amount_thousands
Alabama,11211,Property Taxes,336825
Alabama,11212,Sales and Gross Receipts Taxes,4936049
Alabama,112123,License Taxes,493883
Alabama,112124,Income Taxes,3870173
Alabama,112125,Other Taxes,118509
Alaska,11211,Property Taxes,127821
Alaska,11212,Sales and Gross Receipts Taxes,255971
Alaska,112123,License Taxes,146846
Alaska,112124,Income Taxes,227852
Alaska,112125,Other Taxes,105233
Arizona,11211,Property Taxes,882643
Arizona,11212,Sales and Gross Receipts Taxes,8246393
Arizona,112123,License Taxes,458737
Arizona,112124,Income Taxes,4451843
Arizona,112125,Other Taxes,42484
Arkansas,11211,Property Taxes,1088431
Arkansas,11212,Sales and Gross Receipts Taxes,4410340
Arkansas,112123,License Taxes,384306
Arkansas,112124,Income Taxes,3140706
Arkansas,112125,Other Taxes,166429
California,11211,Property Taxes,2315507
California,11212,Sales and Gross Receipts Taxes,52347262
California,112123,License Taxes,9421978
California,112124,Income Taxes,86936733
California,112125,Other Taxes,151163
Colorado,11211,Property Taxes,
Colorado,11212,Sales and Gross Receipts Taxes,4788704
Colorado,112123,License Taxes,680767
Colorado,112124,Income Taxes,7048478
Colorado,112125,Other Taxes,292683
Connecticut,11211,Property Taxes,
Connecticut,11212,Sales and Gross Receipts Taxes,6562147
Connecticut,112123,License Taxes,452687
Connecticut,112124,Income Taxes,8871756
Connecticut,112125,Other Taxes,345368
Delaware,11211,Property Taxes,
Delaware,11212,Sales and Gross Receipts Taxes,498557
Delaware,112123,License Taxes,1389894
Delaware,112124,Income Taxes,1540994
Delaware,112125,Other Taxes,84471
District of Columbia,11211,Property Taxes,2251724
District of Columbia,11212,Sales and Gross Receipts Taxes,1747326
District of Columbia,112123,License Taxes,162700
District of Columbia,112124,Income Taxes,2316727
District of Columbia,112125,Other Taxes,608978
Florida,11211,Property Taxes,70
Florida,11212,Sales and Gross Receipts Taxes,30336315
Florida,112123,License Taxes,2138834
Florida,112124,Income Taxes,2237500
Florida,112125,Other Taxes,2505040
Georgia,11211,Property Taxes,862493
Georgia,11212,Sales and Gross Receipts Taxes,7555865
Georgia,112123,License Taxes,626088
Georgia,112124,Income Taxes,10679060
Georgia,112125,Other Taxes,224
Hawaii,11211,Property Taxes,
Hawaii,11212,Sales and Gross Receipts Taxes,4082196
Hawaii,112123,License Taxes,252431
Hawaii,112124,Income Taxes,2060164
Hawaii,112125,Other Taxes,90772
Idaho,11211,Property Taxes,
Idaho,11212,Sales and Gross Receipts Taxes,1940708
Idaho,112123,License Taxes,333144
Idaho,112124,Income Taxes,1695450
Idaho,112125,Other Taxes,6143
Illinois,11211,Property Taxes,60959
Illinois,11212,Sales and Gross Receipts Taxes,16102948
Illinois,112123,License Taxes,2730407
Illinois,112124,Income Taxes,19968083
Illinois,112125,Other Taxes,420654
Indiana,11211,Property Taxes,8834
Indiana,11212,Sales and Gross Receipts Taxes,10591278
Indiana,112123,License Taxes,656381
Indiana,112124,Income Taxes,6136548
Indiana,112125,Other Taxes,6609
Iowa,11211,Property Taxes,1772
Iowa,11212,Sales and Gross Receipts Taxes,4268628
Iowa,112123,License Taxes,874778
Iowa,112124,Income Taxes,3934855
Iowa,112125,Other Taxes,109222
Kansas,11211,Property Taxes,658758
Kansas,11212,Sales and Gross Receipts Taxes,3977806
Kansas,112123,License Taxes,378193
Kansas,112124,Income Taxes,2721257
Kansas,112125,Other Taxes,147946
Kentucky,11211,Property Taxes,563435
Kentucky,11212,Sales and Gross Receipts Taxes,5450451
Kentucky,112123,License Taxes,487834
Kentucky,112124,Income Taxes,4821411
Kentucky,112125,Other Taxes,274852
Louisiana,11211,Property Taxes,56658
Louisiana,11212,Sales and Gross Receipts Taxes,5307657
Louisiana,112123,License Taxes,386352
Louisiana,112124,Income Taxes,3236754
Louisiana,112125,Other Taxes,731334
Maine,11211,Property Taxes,37028
Maine,11212,Sales and Gross Receipts Taxes,1999051
Maine,112123,License Taxes,268026
Maine,112124,Income Taxes,1702096
Maine,112125,Other Taxes,57874
Maryland,11211,Property Taxes,738170
Maryland,11212,Sales and Gross Receipts Taxes,8299002
Maryland,112123,License Taxes,851466
Maryland,112124,Income Taxes,9349733
Maryland,112125,Other Taxes,611617
Massachusetts,11211,Property Taxes,5311
Massachusetts,11212,Sales and Gross Receipts Taxes,8274172
Massachusetts,112123,License Taxes,1213135
Massachusetts,112124,Income Taxes,16719284
Massachusetts,112125,Other Taxes,800304
Michigan,11211,Property Taxes,1963036
Michigan,11212,Sales and Gross Receipts Taxes,13124461
Michigan,112123,License Taxes,1563500
Michigan,112124,Income Taxes,10010943
Michigan,112125,Other Taxes,295397
Minnesota,11211,Property Taxes,839487
Minnesota,11212,Sales and Gross Receipts Taxes,9953411
Minnesota,112123,License Taxes,1392055
Minnesota,112124,Income Taxes,11846676
Minnesota,112125,Other Taxes,407624
Mississippi,11211,Property Taxes,25961
Mississippi,11212,Sales and Gross Receipts Taxes,4873512
Mississippi,112123,License Taxes,606432
Mississippi,112124,Income Taxes,2317985
Mississippi,112125,Other Taxes,82624
Missouri,11211,Property Taxes,30265
Missouri,11212,Sales and Gross Receipts Taxes,5084211
Missouri,112123,License Taxes,547993
Missouri,112124,Income Taxes,6281907
Missouri,112125,Other Taxes,11767
Montana,11211,Property Taxes,268057
Montana,11212,Sales and Gross Receipts Taxes,603200
Montana,112123,License Taxes,350769
Montana,112124,Income Taxes,1348517
Montana,112125,Other Taxes,272922
Nebraska,11211,Property Taxes,119
